Key=11 Bias=0.12426 Matches=31213
Key=13 Bias=0.02848 Matches=23576
Key=3 Bias=0.02656 Matches=23672
Key=12 Bias=0.02556 Matches=23722
Key=5 Bias=0.02158 Matches=26079
Key=15 Bias=0.01634 Matches=24183
Key=14 Bias=0.01574 Matches=24213
Key=1 Bias=0.01556 Matches=24222
Key=8 Bias=0.0155 Matches=25775
Key=0 Bias=0.0147 Matches=24265
Key=6 Bias=0.01464 Matches=25732
Key=2 Bias=0.01406 Matches=24297
Key=7 Bias=0.01262 Matches=24369
Key=10 Bias=0.00772 Matches=24614
Key=4 Bias=0.00284 Matches=25142
Key=9 Bias=0.00148 Matches=24926
